Month,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central,USA
1991-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1991-02-01,100.94,100.63,100.32,98.75,102.38,100.57,100.47,100.45,99.59,100.45
1991-03-01,100.9,100.43,99.82,100.63,101.36,100.13,100.6,100.13,100.49,100.48
1991-04-01,100.97,100.47,99.28,100.38,101.06,100.12,100.4,100.36,100.08,100.33
1991-05-01,101.32,100.76,99.24,100.49,99.85,100.1,100.46,100.32,100.27,100.38
1991-06-01,101.46,101.47,98.95,101.57,98.57,99.92,100.53,100.5,100.93,100.5
1991-07-01,101.86,101.3,99.24,101.35,98.7,99.86,100.41,100.36,100.87,100.54
1991-08-01,102.02,100.82,98.78,101.24,97.81,100.01,100.0,100.72,100.56,100.37
1991-09-01,101.97,101.18,99.46,101.8,99.02,99.47,100.04,100.86,101.43,100.61
1991-10-01,102.29,101.58,99.15,102.5,98.64,100.3,100.88,101.49,100.7,100.91
1991-11-01,103.33,102.18,100.18,103.72,97.13,100.62,101.16,101.43,101.22,101.41
1991-12-01,103.37,103.28,100.52,103.66,98.67,100.73,101.6,102.49,101.99,101.89
1992-01-01,103.87,103.3,100.87,104.42,99.79,100.97,101.83,102.38,102.36,102.23
1992-02-01,104.39,104.1,102.08,105.55,100.4,101.46,102.58,102.85,103.26,102.97
1992-03-01,105.12,103.79,101.27,105.97,99.52,100.83,102.22,103.62,102.71,102.81
1992-04-01,105.17,103.37,100.96,105.88,98.47,100.39,101.82,103.59,102.74,102.56
1992-05-01,105.49,104.05,100.46,106.34,97.47,100.22,101.97,103.82,102.59,102.58
1992-06-01,105.52,104.11,100.39,106.93,96.27,99.76,101.65,104.2,103.01,102.51
1992-07-01,105.96,104.63,100.39,107.24,96.64,100.01,102.16,104.65,103.34,102.86
1992-08-01,106.39,105.35,100.41,107.96,97.57,100.15,102.95,104.83,103.81,103.32
1992-09-01,106.64,105.81,101.31,108.46,97.44,100.2,103.44,105.44,104.18,103.71
1992-10-01,107.33,106.5,101.49,109.52,97.96,99.57,103.61,105.65,104.88,104.03
1992-11-01,107.73,106.26,102.22,110.14,98.38,99.6,103.39,106.01,105.33,104.28
1992-12-01,108.39,106.74,101.4,111.09,97.4,99.24,103.14,106.24,105.06,104.21
1993-01-01,108.51,106.95,101.0,111.83,96.5,98.67,103.21,107.33,105.36,104.25
1993-02-01,108.33,106.62,100.8,112.29,95.21,98.14,103.16,107.6,105.42,104.07
1993-03-01,108.89,107.91,100.63,112.53,95.58,98.25,103.65,106.85,105.97,104.38
1993-04-01,109.4,108.29,101.5,113.92,96.44,98.31,104.26,108.18,106.54,105.02
1993-05-01,109.74,108.7,101.82,114.67,96.22,97.91,104.37,108.85,107.04,105.24
1993-06-01,110.43,108.82,101.59,115.61,96.64,97.88,104.81,109.44,107.61,105.61
1993-07-01,110.89,109.27,101.16,116.6,96.55,96.86,104.89,109.89,108.12,105.67
1993-08-01,111.37,109.88,101.36,117.77,96.2,97.24,105.11,110.61,108.42,106.05
