Month,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central,USA
1991-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1991-02-01,100.89,100.99,100.15,98.39,101.77,100.13,100.58,100.49,99.82,100.39
1991-03-01,101.3,100.85,100.1,100.21,101.52,99.96,101.0,100.43,100.62,100.68
1991-04-01,101.69,100.83,99.6,100.3,101.04,100.14,100.9,100.83,100.36,100.68
1991-05-01,102.3,101.14,99.72,100.7,99.83,100.34,100.77,100.8,100.76,100.84
1991-06-01,102.78,101.99,99.85,102.09,99.18,100.45,101.3,101.41,101.91,101.35
1991-07-01,102.95,101.82,100.35,101.47,99.1,100.41,101.0,101.3,101.78,101.31
1991-08-01,103.12,101.69,99.82,101.78,98.36,100.76,100.85,101.78,101.53,101.28
1991-09-01,102.84,101.98,100.4,101.96,99.89,100.24,100.68,101.62,102.11,101.36
1991-10-01,103.06,101.91,100.23,103.0,99.19,100.8,101.61,101.9,101.38,101.58
1991-11-01,103.96,102.75,101.13,103.96,98.17,100.84,102.0,101.81,101.82,102.03
1991-12-01,103.71,103.38,100.85,103.76,99.02,101.01,101.95,102.83,102.2,102.17
1992-01-01,103.85,103.29,100.85,104.36,99.76,100.98,101.84,102.36,102.36,102.22
1992-02-01,104.35,104.44,101.86,105.13,99.74,101.01,102.7,102.87,103.47,102.89
1992-03-01,105.51,104.23,101.52,105.54,99.65,100.66,102.6,103.94,102.83,103.01
1992-04-01,105.91,103.74,101.27,105.84,98.43,100.42,102.32,104.1,103.03,102.92
1992-05-01,106.51,104.43,100.98,106.6,97.49,100.49,102.28,104.36,103.14,103.07
1992-06-01,106.91,104.7,101.35,107.5,96.95,100.31,102.44,105.16,103.98,103.4
1992-07-01,107.11,105.21,101.57,107.44,97.14,100.61,102.8,105.67,104.26,103.68
1992-08-01,107.56,106.28,101.55,108.58,98.18,100.93,103.83,105.96,104.82,104.27
1992-09-01,107.56,106.63,102.27,108.69,98.29,100.97,104.11,106.28,104.87,104.49
